time,foot

time,foot
0,Left,
0,Right,
0,Left,
0.902844,Right,
1.519651,Left,
2.052768,Right,
2.602575,Left,
3.169173,Right,
3.753068,Left,
4.353234,Right,
4.903506,Left,
5.502091,Right,
6.019133,Left,
6.652527,Right,
7.236012,Left,
7.818937,Right,
8.40193,Left,
8.968554,Right,
9.551467,Left,
10.11822,Right,
10.73456,Left,
11.35076,Right,
11.96777,Left,
12.53347,Right,
13.06701,Left,
13.75095,Right,
14.33347,Left,
14.99978,Right,
15.54917,Left,
16.16609,Right,
16.76602,Left,
17.41647,Right,
17.9828,Left,
18.56602,Right,
19.11595,Left,
19.68321,Right,
20.23198,Left,
20.84879,Right,
21.43172,Left,
22.00663,Right,
22.56163,Left,
23.18707,Right,
23.71441,Left,
24.34843,Right,
24.89254,Left,
25.48347,Right,
26.03539,Left,
26.60791,Right,
27.1081,Left,
27.70367,Right,
28.20356,Left,
28.7973,Right,
29.28592,Left,
29.93843,Right,
30.4405,Left,
30.97577,Right,
31.55869,Left,
32.11988,Right,
32.64547,Left,
33.21044,Right,
33.73038,Left,
34.3297,Right,
34.86991,Left,
35.44109,Right,
35.94007,Left,
36.53082,Right,
37.02121,Left,
37.63966,Right,
38.12297,Left,
38.70722,Right,
39.25248,Left,
39.79309,Right,
40.30379,Left,
40.88403,Right,
41.40983,Left,
41.99499,Right,
42.50904,Left,
43.08721,Right,
43.57085,Left,
44.13925,Right,
44.64463,Left,
45.22055,Right,
45.69182,Left,
46.28217,Right,
46.78788,Left,
47.39566,Right,
47.8824,Left,
48.49157,Right,
49.00417,Left,
49.59424,Right,
50.11507,Left,
50.67052,Right,
51.20555,Left,
51.74058,Right,
52.27573,Left,
52.82899,Right,
53.35156,Left,
53.90947,Right,
54.415,Left,
54.97554,Right,
55.48538,Left,
55.97532,Right,
56.53163,Left,
57.13197,Right,

time,foot
0,Left,
0,Right,
2.732863,Left,
3.798884,Right,
4.849536,Left,
6.016215,Right,
6.999631,Left,
8.199258,Right,
9.248704,Left,
10.46532,Right,
11.53076,Left,
12.68074,Right,
13.71379,Left,
14.84713,Right,
15.8635,Left,
16.91301,Right,
18.0132,Left,
18.64617,Right,
19.14575,Left,
19.77925,Right,
20.31162,Left,
20.9112,Right,
21.52799,Left,
22.19426,Right,
22.77837,Left,
23.44459,Right,
24.07757,Left,
24.22762,Right,
25.37769,Left,
26.06039,Right,
26.67765,Left,
27.39397,Right,
27.97709,Left,
28.69291,Right,
29.34276,Left,
29.95918,Right,
30.55866,Left,
31.24296,Right,
31.7865,Left,
32.43119,Right,
33.03584,Left,
33.7268,Right,
34.25607,Left,
34.95343,Right,
35.54321,Left,
36.16863,Right,
36.76686,Left,
37.3445,Right,
37.99067,Left,
38.63706,Right,
39.21959,Left,
39.87092,Right,
40.65396,Left,
42.03761,Right,
43.10898,Left,
44.22375,Right,
45.10799,Left,
46.16576,Right,
47.0743,Left,
48.0772,Right,
49.002,Left,
49.98672,Right,
50.92351,Left,
51.87645,Right,
52.73862,Left,
53.70181,Right,
54.60473,Left,
55.61541,Right,
56.4087,Left,
57.4297,Right,
58.3679,Left,
59.36529,Right,
60.24677,Left,
61.27462,Right,
61.48205,Left,
61.48205,Right,
61.48205,Left,
61.48205,Right,
61.48205,Left,
61.48205,Right,
61.48205,Left,
61.48205,Right,
61.48205,Left,
61.48205,Right,
61.48205,Left,
61.48205,Right,
61.48205,Left,
61.48205,Right,

time,foot
0,Left,
0,Right,
1.117196,Left,
1.433097,Right,
1.899598,Left,
2.416781,Right,
2.999812,Left,
3.53329,Right,
4.066232,Left,
4.583196,Right,
5.116355,Left,
5.666678,Right,
6.199504,Left,
6.816067,Right,
7.332356,Left,
7.932511,Right,
8.432078,Left,
8.998577,Right,
9.531636,Left,
10.09825,Right,
10.61489,Left,
11.21426,Right,
11.69808,Left,
12.29752,Right,
12.83133,Left,
13.36452,Right,
13.88031,Left,
14.41316,Right,
14.99671,Left,
15.56329,Right,
16.09665,Left,
16.67996,Right,
17.17964,Left,
17.71309,Right,
18.27956,Left,
18.84694,Right,
19.34591,Left,
19.89627,Right,
20.37911,Left,
21.0104,Right,
21.49188,Left,
22.13704,Right,
23.74066,Left,
25.1165,Right,
26.35151,Left,
27.70971,Right,
28.77776,Left,
29.95339,Right,
31.00364,Left,
31.51415,Right,
31.99476,Left,
32.53505,Right,
33.01075,Left,
33.62457,Right,
34.09831,Left,
35.32069,Right,
36.28109,Left,
37.72151,Right,
38.62092,Left,
39.4772,Right,
40.41858,Left,
41.48981,Right,
42.59023,Left,
43.81787,Right,
44.581,Left,
45.09315,Right,
45.6488,Left,
46.18702,Right,
46.71978,Left,
47.27214,Right,
47.82078,Left,
48.40202,Right,
48.88255,Left,
49.44368,Right,
50.04482,Left,
51.35388,Right,
52.54599,Left,
53.87314,Right,
54.93629,Left,
55.98731,Right,
56.95519,Left,
57.58796,Right,
58.03901,Left,
58.60236,Right,
59.16546,Left,
59.70645,Right,
60.20934,Left,
60.6731,Right,
61.21083,Left,

time,foot
0,Left,
0,Right,
3.531873,Left,
4.098464,Right,
4.365121,Left,
13.5137,Right,
13.81334,Left,
14.39663,Right,
14.73149,Left,
14.99734,Right,
15.22944,Left,
15.42965,Right,
15.56326,Left,
15.7301,Right,
15.86375,Left,
15.99692,Right,
16.16342,Left,
16.2628,Right,
16.42909,Left,
16.52929,Right,
16.62883,Left,
16.7288,Right,
16.8621,Left,
16.96256,Right,
17.12948,Left,
17.19622,Right,
17.36312,Left,
17.46272,Right,
17.59632,Left,
17.73,Right,
17.86271,Left,
18.02894,Right,
18.12859,Left,
18.26208,Right,
18.39607,Left,
18.52881,Right,
18.7296,Left,
62.14847,Right,
62.14847,Left,
62.14847,Right,
62.14847,Left,
62.14847,Right,
62.14847,Left,
62.14847,Right,
62.14847,Left,
62.14847,Right,
62.14847,Left,
62.14847,Right,
62.14847,Left,
62.14847,Right,
62.14847,Left,
62.14847,Right,
62.14847,Left,
62.14847,Right,
62.14847,Left,
62.14847,Right,
62.14847,Left,
62.14847,Right,
62.14847,Left,
62.14847,Right,
62.14847,Left,

time,foot
0,Left,
0,Right,
2.417635,Left,
3.51683,Right,
4.683567,Left,
5.766063,Right,
6.949767,Left,
8.032759,Right,
9.098918,Left,
10.26589,Right,
11.31457,Left,
12.59823,Right,
13.76498,Left,
15.18058,Right,
16.31355,Left,
17.61257,Right,
18.79636,Left,
20.04633,Right,
21.27925,Left,
22.39492,Right,
23.645,Left,
24.84453,Right,
25.91171,Left,
26.9941,Right,
28.06062,Left,
29.19425,Right,
30.26054,Left,
31.27649,Right,
32.42639,Left,
33.40955,Right,
34.52472,Left,
35.59126,Right,
36.55708,Left,
37.5241,Right,
38.47361,Left,
39.45671,Right,
40.47353,Left,
41.5392,Right,
42.62239,Left,
43.57185,Right,
44.65559,Left,
45.67173,Right,
46.63718,Left,
47.55407,Right,
48.62065,Left,
49.68707,Right,
50.63665,Left,
51.70284,Right,
52.70347,Left,
53.66945,Right,
54.56961,Left,
55.53614,Right,
56.58511,Left,
57.635,Right,
58.66799,Left,
59.65148,Right,
60.70053,Left,
61.39935,Right,
61.39935,Left,
61.39935,Right,
61.39935,Left,
61.39935,Right,
61.39935,Left,
61.39935,Right,
61.39935,Left,
61.39935,Right,
61.39935,Left,
61.39935,Right,
61.39935,Left,
61.39935,Right,
61.39935,Left,
61.39935,Right,
61.39935,Left,
61.39935,Right,
61.39935,Left,
61.39935,Right,

time,foot

time,foot
0,Right,
0,Left,
0,Right,
0.5044111,Left,
1.191116,Right,
1.654092,Left,
2.588505,Right,
3.410788,Left,
4.278121,Right,
5.11048,Left,
6.042433,Right,
6.820154,Left,
7.538115,Right,
8.388338,Left,
9.100198,Right,
9.745927,Left,
10.38117,Right,
11.01449,Left,
11.64425,Right,
12.22636,Left,
12.80219,Right,
13.35516,Left,
13.94304,Right,
14.48965,Left,
15.01227,Right,
15.62215,Left,
16.11915,Right,
16.6591,Left,
17.19374,Right,
17.73121,Left,
18.2686,Right,
18.81888,Left,
19.31425,Right,
19.87646,Left,
20.37158,Right,
20.9391,Left,
21.49499,Right,
22.05338,Left,
22.61936,Right,
23.12577,Left,
23.73072,Right,
24.26722,Left,
24.8196,Right,
25.35847,Left,
25.92858,Right,
26.50136,Left,
27.03223,Right,
27.55344,Left,
28.10997,Right,
29.74826,Left,
30.294,Right,
30.77345,Left,
31.27201,Right,
31.81942,Left,
32.39089,Right,
32.95096,Left,
33.43576,Right,
33.99078,Left,
34.53427,Right,
35.07199,Left,
35.60099,Right,
36.1639,Left,
36.71806,Right,
37.23526,Left,
37.80366,Right,
38.34349,Left,
38.87966,Right,
39.41375,Left,
39.97861,Right,
41.61559,Left,
42.17489,Right,
42.71041,Left,
43.25243,Right,
43.76802,Left,
44.3097,Right,
44.84623,Left,
45.41345,Right,
45.99597,Left,
46.51825,Right,
47.07365,Left,
47.68157,Right,
48.28008,Left,
48.82624,Right,
49.41626,Left,
49.9426,Right,
50.47384,Left,
50.96956,Right,
51.56463,Left,
52.09327,Right,
52.62101,Left,
53.15301,Right,
53.75562,Left,
54.24734,Right,
54.78309,Left,
55.36693,Right,
55.89127,Left,
56.40769,Right,
56.96582,Left,
57.44675,Right,
58.10664,Left,
58.60337,Right,
59.06945,Left,
61.53529,Right,
61.53529,Left,
61.53529,Right,
61.53529,Left,
61.53529,Right,
61.53529,Left,
61.53529,Right,

time,foot

time,foot

