time,foot
1.627847,Right,
3.893127,Right,
5.514597,Right,
6.203589,Left,
6.689238,Right,
7.300573,Left,
7.972452,Right,
8.629381,Left,
9.391353,Right,
10.01586,Left,
10.7457,Right,
11.37164,Left,
12.13199,Right,
12.79061,Left,
13.54077,Right,
14.14524,Left,
14.75897,Right,
15.18363,Left,
15.75169,Right,
16.28832,Left,
16.92113,Right,
17.44069,Left,
18.10954,Right,
18.68712,Left,
19.15871,Right,
21.51983,Right,
22.0814,Left,
22.782,Right,
23.33262,Left,
23.97366,Right,
24.59265,Left,
25.2262,Right,
25.78788,Left,
26.46339,Right,
27.06795,Left,
27.70738,Right,
28.2929,Left,
28.89631,Right,
29.51359,Left,
30.12655,Right,
30.71416,Left,
31.35893,Right,
31.90898,Left,
32.50956,Right,
33.11847,Left,
33.6889,Right,
34.25895,Left,
34.88501,Right,
35.42605,Left,
36.05726,Right,
36.60069,Left,
37.25589,Right,
37.73484,Left,
38.37185,Right,
38.88468,Left,
39.46547,Right,
40.01206,Left,
40.59621,Right,
41.18059,Left,
41.74167,Right,
42.26821,Left,
42.92325,Right,
43.42887,Left,
44.08949,Right,
44.60687,Left,
45.24878,Right,
45.66039,Left,
46.27745,Right,
46.71324,Left,
47.29716,Right,
47.80293,Left,
48.42468,Right,
48.96904,Left,
49.56056,Right,
50.11484,Left,
50.79869,Right,
51.27334,Left,
51.93196,Right,
52.4117,Left,
53.06863,Right,
53.47345,Left,
54.65503,Left,
55.76432,Left,
56.4075,Right,
57.06114,Left,
57.79313,Right,
58.49307,Left,
59.30221,Right,
59.8326,Left,
61.12357,Right,
61.2849,Left,
62.78298,Left,
63.59986,Right,
64.25372,Left,
64.87284,Right,
65.54125,Left,
66.1893,Right,
66.91238,Left,
67.56203,Right,
68.26268,Left,
68.86204,Right,
69.57884,Left,

time,foot
1.149767,Right,
3.00038,Left,
3.449816,Left,
5.582753,Right,
6.449767,Left,
7.13225,Right,
7.582323,Left,
8.049321,Right,
8.579394,Left,
9.265785,Right,
9.728964,Left,
10.39252,Right,
10.89303,Left,
11.4461,Right,
11.93797,Left,
12.47647,Right,
13.02289,Left,
13.58053,Right,
14.07791,Left,
14.64468,Right,
15.17781,Left,
15.75856,Right,
16.28504,Left,
16.86276,Right,
17.44649,Left,
17.95623,Right,
18.48522,Left,
19.08245,Right,
19.68241,Left,
20.15543,Right,
20.77301,Left,
21.25523,Right,
21.98884,Left,
22.59735,Right,
23.17058,Left,
23.7085,Right,
24.24981,Left,
24.82734,Right,
25.35328,Left,
25.86245,Right,
26.45485,Left,
26.97919,Right,
27.57597,Left,
28.07153,Right,
28.70839,Left,
29.28674,Right,
29.86076,Left,
30.40257,Right,
30.97627,Left,
31.52439,Right,
32.15245,Left,
32.66161,Right,
33.25423,Left,
33.85511,Right,
34.36513,Left,
34.86155,Right,
35.41155,Left,
35.8866,Right,
36.57672,Left,
37.12614,Right,
37.68566,Left,
38.28524,Right,
38.8557,Left,
39.37105,Right,
39.95329,Left,
40.46329,Right,
41.01478,Left,
41.60571,Right,
42.23905,Left,
42.75364,Right,
43.38425,Left,
43.93949,Right,
44.53738,Left,
45.10888,Right,
45.76174,Left,
46.40902,Right,
46.89787,Left,
47.48617,Right,
48.09188,Left,
48.65213,Right,
49.21173,Left,
49.77227,Right,
50.30302,Left,
50.88425,Right,
51.45497,Left,
52.02364,Right,
52.48819,Left,
53.12362,Right,
53.63858,Left,
54.19556,Right,
54.72382,Left,
55.27277,Right,
55.84682,Left,
56.39068,Right,
56.94956,Left,
57.50892,Right,
58.10529,Left,
58.77898,Right,
59.37197,Left,
59.97729,Right,
60.55991,Left,
61.11155,Right,
61.69678,Left,
62.23518,Right,
62.7788,Left,
63.38144,Right,

time,foot
3.582007,Left,
3.93281,Left,
4.317756,Right,
4.766364,Left,
6.249334,Left,
6.682389,Right,
7.249293,Left,
7.782184,Right,
8.281976,Left,
8.766096,Right,
9.331926,Left,
9.797669,Right,
10.36466,Left,
10.98086,Right,
11.41398,Left,
11.53065,Right,
11.91435,Right,
12.41406,Left,
12.91385,Right,
13.43039,Left,
13.93065,Right,
14.42954,Left,
14.91045,Right,
15.48021,Left,
16.01129,Right,
16.4877,Left,
17.02326,Right,
17.55353,Left,
18.08669,Right,
18.62464,Left,
19.16502,Right,
19.68832,Left,
20.16642,Right,
20.65745,Left,
21.16539,Right,
21.70599,Left,
22.24817,Right,
22.79548,Left,
23.33926,Right,
23.86619,Left,
24.40946,Right,
24.89756,Left,
25.45537,Right,
25.97429,Left,
26.49751,Right,
27.05986,Left,
27.59788,Right,
28.11203,Left,
28.66175,Right,
29.20318,Left,
29.70783,Right,
30.24699,Left,
30.76649,Right,
31.32999,Left,
31.83642,Right,
32.35145,Left,
32.88208,Right,
33.43652,Left,
33.91246,Right,
34.3915,Left,
34.90951,Right,
35.46377,Left,
35.94944,Right,
36.45518,Left,
36.9542,Right,
37.51432,Left,
37.95434,Right,
38.47653,Left,
39.00124,Right,
39.51845,Left,
40.03828,Right,
40.54858,Left,
41.08318,Right,
41.58368,Left,
42.07677,Right,
42.6012,Left,
43.15841,Right,
43.62318,Left,
44.11816,Right,
44.66637,Left,
45.70837,Left,
46.74805,Left,
47.23483,Right,
47.7174,Left,
48.21256,Right,
48.75804,Left,
49.24765,Right,
49.82537,Left,
50.29792,Right,
50.82005,Left,
51.37483,Right,
51.89186,Left,
52.89774,Left,
53.42929,Right,
53.96703,Left,
54.47878,Right,
55.03563,Left,
55.55397,Right,
56.05091,Left,
56.60075,Right,
57.12164,Left,
57.61203,Right,
58.19387,Left,
58.6687,Right,
58.74133,Right,
59.21834,Left,
59.72814,Right,
60.26386,Left,

time,foot
0.133664,Right,
0.633055,Left,
1.166466,Right,
1.699757,Left,
2.300491,Right,
2.866697,Left,
3.401047,Right,
3.949967,Left,
4.466157,Right,
4.999246,Left,
5.566223,Right,
6.133246,Left,
6.656815,Right,
7.164178,Left,
7.715948,Right,
8.26047,Left,
8.801711,Right,
9.355885,Left,
9.892614,Right,
10.44067,Left,
10.95404,Right,
11.51396,Left,
12.06219,Right,
12.5874,Left,
13.18895,Right,
13.74262,Left,
14.26996,Right,
14.82989,Left,
15.39229,Right,
15.92642,Left,
16.48979,Right,
17.02754,Left,
17.57573,Right,
18.12263,Left,
18.63783,Right,
19.13657,Left,
19.67599,Right,
20.20567,Left,
20.74607,Right,
21.28649,Left,
21.84568,Right,
22.41049,Left,
22.98134,Right,
23.53269,Left,
24.08814,Right,
24.61254,Left,
25.17084,Right,
25.70375,Left,
26.25754,Right,
26.77217,Left,
27.34384,Right,
27.88394,Left,
28.45465,Right,
28.96328,Left,
29.51594,Right,
30.05113,Left,
30.63562,Right,
31.15273,Left,
31.70757,Right,
32.25211,Left,
32.79818,Right,
33.34214,Left,
33.8883,Right,
34.44787,Left,
35.01985,Right,
35.61087,Left,
36.11805,Right,
36.65766,Left,
37.1959,Right,
37.74718,Left,
38.326,Right,
38.87626,Left,
39.38846,Right,
39.97829,Left,
40.49827,Right,
41.03219,Left,
41.5494,Right,
42.06574,Left,
42.63525,Right,
43.25818,Left,
43.76911,Right,
44.29343,Left,
44.89407,Right,
45.41866,Left,
45.93872,Right,
46.50446,Left,
47.0439,Right,
47.61578,Left,
48.15215,Right,
48.69879,Left,
49.25627,Right,
49.77124,Left,
50.28712,Right,
50.82527,Left,
51.33063,Right,
51.86812,Left,
52.36859,Right,
52.9266,Left,
53.48525,Right,
54.0369,Left,
54.63274,Right,
55.18795,Left,
55.70889,Right,
56.29936,Left,
56.3353,Left,
56.818,Right,
57.32334,Left,
57.91064,Right,
58.45161,Left,

time,foot
1.067391,Left,
1.733722,Right,
2.398713,Left,
2.666667,Right,
3.033813,Left,
3.700878,Right,
4.367138,Left,
5.150275,Right,
6.067023,Left,
6.89959,Right,
8.132998,Left,
9.065913,Right,
10.6286,Left,
11.36453,Right,
11.89786,Left,
12.33154,Right,
12.8651,Left,
13.43109,Right,
13.8966,Left,
14.43099,Right,
14.96395,Left,
15.53145,Right,
16.0603,Left,
16.59461,Right,
17.13798,Left,
17.64999,Right,
18.17565,Left,
18.77732,Right,
19.33419,Left,
19.86959,Right,
20.37062,Left,
20.97802,Right,
21.44097,Left,
22.03322,Right,
22.54727,Left,
23.10363,Right,
23.62365,Left,
24.1811,Right,
24.69486,Left,
25.25138,Right,
25.80962,Left,
26.3107,Right,
26.7794,Left,
26.92035,Right,
27.39981,Right,
27.90483,Left,
28.50854,Right,
28.99566,Left,
29.59104,Right,
30.09662,Left,
30.69141,Right,
31.23402,Left,
31.78593,Right,
32.25715,Left,
32.84305,Right,
33.40013,Left,
33.96513,Right,
34.51706,Left,
35.02978,Right,
35.54414,Left,
36.16835,Right,
36.68582,Left,
37.21663,Right,
37.78639,Left,
38.33499,Right,
